"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/Users/shreyansh/studyforge/src/app/auth/confirm/route.ts", "TypeScript", 24, 0, 0, 3, 5, 32
"/Users/shreyansh/studyforge/src/app/auth/error/page.tsx", "TypeScript JSX", 0, 39, 0, 0, 3, 42
"/Users/shreyansh/studyforge/src/app/auth/forgot-password/page.tsx", "TypeScript JSX", 0, 10, 0, 0, 2, 12
"/Users/shreyansh/studyforge/src/app/auth/login/page.tsx", "TypeScript JSX", 0, 10, 0, 0, 2, 12
"/Users/shreyansh/studyforge/src/app/auth/sign-up-success/page.tsx", "TypeScript JSX", 0, 31, 0, 0, 2, 33
"/Users/shreyansh/studyforge/src/app/auth/sign-up/page.tsx", "TypeScript JSX", 0, 10, 0, 0, 2, 12
"/Users/shreyansh/studyforge/src/app/auth/update-password/page.tsx", "TypeScript JSX", 0, 10, 0, 0, 2, 12
"/Users/shreyansh/studyforge/src/app/colors.css", "PostCSS", 0, 0, 299, 0, 2, 301
"/Users/shreyansh/studyforge/src/app/files/layout.tsx", "TypeScript JSX", 0, 15, 0, 0, 2, 17
"/Users/shreyansh/studyforge/src/app/files/page.tsx", "TypeScript JSX", 0, 293, 0, 33, 35, 361
"/Users/shreyansh/studyforge/src/app/globals.css", "PostCSS", 0, 0, 150, 11, 20, 181
"/Users/shreyansh/studyforge/src/app/layout.tsx", "TypeScript JSX", 0, 31, 0, 1, 5, 37
"/Users/shreyansh/studyforge/src/app/modules/timetable/calendar.tsx", "TypeScript JSX", 0, 93, 0, 5, 9, 107
"/Users/shreyansh/studyforge/src/app/modules/timetable/timetable.tsx", "TypeScript JSX", 0, 41, 0, 5, 5, 51
"/Users/shreyansh/studyforge/src/app/page.tsx", "TypeScript JSX", 0, 12, 0, 2, 2, 16
"/Users/shreyansh/studyforge/src/app/protected/page.tsx", "TypeScript JSX", 0, 22, 0, 3, 7, 32
"/Users/shreyansh/studyforge/src/app/setup/page.tsx", "TypeScript JSX", 0, 54, 0, 1, 13, 68
"/Users/shreyansh/studyforge/src/components/auth/forgot-password-form.tsx", "TypeScript JSX", 0, 99, 0, 1, 6, 106
"/Users/shreyansh/studyforge/src/components/auth/login-form.tsx", "TypeScript JSX", 0, 103, 0, 1, 6, 110
"/Users/shreyansh/studyforge/src/components/auth/logout-button.tsx", "TypeScript JSX", 0, 15, 0, 0, 7, 22
"/Users/shreyansh/studyforge/src/components/auth/protected-page.tsx", "TypeScript JSX", 0, 22, 0, 0, 4, 26
"/Users/shreyansh/studyforge/src/components/auth/sign-up-form.tsx", "TypeScript JSX", 0, 125, 0, 0, 7, 132
"/Users/shreyansh/studyforge/src/components/auth/ui/button.tsx", "TypeScript JSX", 0, 56, 0, 0, 6, 62
"/Users/shreyansh/studyforge/src/components/auth/ui/card.tsx", "TypeScript JSX", 0, 83, 0, 0, 10, 93
"/Users/shreyansh/studyforge/src/components/auth/ui/input.tsx", "TypeScript JSX", 0, 18, 0, 0, 4, 22
"/Users/shreyansh/studyforge/src/components/auth/ui/label.tsx", "TypeScript JSX", 0, 20, 0, 0, 5, 25
"/Users/shreyansh/studyforge/src/components/auth/update-password-form.tsx", "TypeScript JSX", 0, 72, 0, 1, 6, 79
"/Users/shreyansh/studyforge/src/components/files/breadcrumbs.tsx", "TypeScript JSX", 0, 56, 0, 1, 7, 64
"/Users/shreyansh/studyforge/src/components/files/create-modal.tsx", "TypeScript JSX", 0, 161, 0, 1, 17, 179
"/Users/shreyansh/studyforge/src/components/files/nodecard.tsx", "TypeScript JSX", 0, 100, 0, 17, 17, 134
"/Users/shreyansh/studyforge/src/components/files/todocard.tsx", "TypeScript JSX", 0, 70, 0, 3, 14, 87
"/Users/shreyansh/studyforge/src/components/ui/context-item.tsx", "TypeScript JSX", 0, 32, 0, 0, 3, 35
"/Users/shreyansh/studyforge/src/components/ui/context-menu.tsx", "TypeScript JSX", 0, 23, 0, 2, 4, 29
"/Users/shreyansh/studyforge/src/components/ui/input.tsx", "TypeScript JSX", 0, 28, 0, 0, 4, 32
"/Users/shreyansh/studyforge/src/components/ui/modal.tsx", "TypeScript JSX", 0, 76, 0, 1, 8, 85
"/Users/shreyansh/studyforge/src/components/ui/peek.tsx", "TypeScript JSX", 0, 134, 0, 10, 23, 167
"/Users/shreyansh/studyforge/src/components/ui/select.tsx", "TypeScript JSX", 0, 45, 0, 0, 4, 49
"/Users/shreyansh/studyforge/src/lib/client.ts", "TypeScript", 7, 0, 0, 1, 3, 11
"/Users/shreyansh/studyforge/src/lib/contexts.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"/Users/shreyansh/studyforge/src/lib/files/file-actions.ts", "TypeScript", 17, 0, 0, 6, 6, 29
"/Users/shreyansh/studyforge/src/lib/middleware.ts", "TypeScript", 39, 0, 0, 17, 9, 65
"/Users/shreyansh/studyforge/src/lib/server.ts", "TypeScript", 24, 0, 0, 4, 4, 32
"/Users/shreyansh/studyforge/src/lib/utils.ts", "TypeScript", 37, 0, 0, 2, 4, 43
"/Users/shreyansh/studyforge/src/middleware.ts", "TypeScript", 10, 0, 0, 7, 3, 20
"Total", "-", 160, 2009, 449, 139, 310, 3067